movie_id,title,tags
0,Assignment: Outer Space,"In the 22nd Century, Ray Peterson, reporter for the Interplanetary News, is assigned to write a story aboard a space station. Tension mounts between Peterson and the station's ommander, who think he's in the way, but has orders to leave him alone. Errant spaceship, Alpha Two enters the solar system and its photon generators are radiating enough heat to destroy Earth as it approaches. It falls to Peterson to try to figure out a way to enter the spaceship, disarm the generators, and escape before suffocating."
1,The Brain From Planet Arous,"Gor, a powerful criminal brain from the planet Arous, assumes the body of scientist Steve March. Through March, he begins to control the world by threatening destruction to any country challenging his domination. Another brain, Val, works with March's future wife Sally to defeat Gor. Val explains that Gor will be vulnerable when he is forced to leave March at intervals to re-energize. Gor's vulnerable spot, the Fissure of Orlando, is described in a note left by Sally in Steve's lab."
2,Creature from the Black Lagoon,"A scientific expedition searching for fossils along the Amazon River discovers a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one in the expedition, with whom he has fallen in love."
3,Evil Brain From Outer Space,"A monstrous evil brain from outer space leads his minions on a crusade to conquer the universe, and unleashes hideous monsters on Earth that spread deadly diseases. Superhero Starman must rescue Earth from the menace of the evil brain while battling armies of monsters the brain sends against him."
4,One Week,"Buster and Sybil exit a chapel as newlyweds. Among the gifts is a portable house you easily put together in one week. It doesn't help that Buster's rival for Sybil switches the numbers on the crates containing the house parts."
5,The First 100 Years,"A man saves his lady love from Black Mike then comes wedded bliss. He hires a cook, who's brusque, domineering, and constantly smoking a cigar. Out of the blue, the couple gets a visit from his old friend, Roland Stone, bluff and portly. Roland befriends our newly-wed's wife, and this friendship deepens after the husband hires a new cook, the lovely Miss Gainsborough, who gives her boss a little too much friendly attention. That night, a prowler skulks, Miss Gainsborough faints, the newly-wed husband comes to her rescue, and she grabs him and holds on. His wife is offended and determines to leave with Roland. Is the marriage over?"
6,The Sinking of the Lusitania,"An animated depiction of the sinking of the Lusitania: In May 1915, the liner leaves the United States, headed for Liverpool with over 2000 passengers on board. As the ship nears its destination, she is struck and severely damaged by a torpedo from a German U-boat. Even as frantic efforts to evacuate the ship are underway, another torpedo strikes the ship, leading quickly to disaster."
7,The Spirit of '43,"Donald Duck deals with income taxes and their benefit to the American war effort in this inspirational documentary short animated film"
8,The Scarecrow,"Farmhands Keaton and Roberts share a cottage full of mechanical devices for making life easy. They are rivals for the farmer's daughter. Keaton , disguised as a scarecrow, causes troubles for his rival and the farmer. When Keaton stoops to tie his shoe, the girl accepts what she thinks is his kneeling proposal."
9,Unknown World,"Dr. Jerimiah Morley becomes convinced that the world is headed to an inevitable worldwide nuclear war. He organizes an expedition made up of a team of expert scientists and an atomic-powered rock-boring vehicle called a cyclotram to find a subterranean environment where holocaust survivors could live indefinitely. When funding falls through, independently rich adventurer Wright Thompson underwrites the project under the condition that he be allowed to go. As the group goes deeper beneath the Earth's crust, personalities clash, tempers flare, and the dangerous journey claims the lives of several expedition members. When they come upon an enormous underground expanse with its own ocean and phosphorescent light, it appears that their goal has been achieved."
